Codigo;Nombre del proveedor;Tipo de servicio;Importe en soles;Mes;
441617;MUNICIPALIDAD PROVINCIAL DEL CUSCO     ;Impuestos;2400;Febrero;
442235;PERURAIL        ;Transportadora ;19698.96;Febrero;
455787;RIMAC EPS       ;People;2286428.96;Febrero;
455787;RIMAC EPS       ;People;958022.86;Febrero;
482293;Nouchi Zea       ;Alquiler;9500;Febrero;
482744;RELSA        ;Alquiler;62978.62;Febrero;
482744;RELSA        ;Alquiler;12166.38;Febrero;
T13868;COESTI S.A.       ;Servicios Publicos;51091.64;Febrero;
440948;SOCIEDAD ELECTRICA DEL SUR OESTE S   ;Servicios Publicos;18.1;Febrero;
440948;SOCIEDAD ELECTRICA DEL SUR OESTE S   ;Servicios Publicos;18.1;Febrero;
441127;ELECTRO DUNAS       ;Servicios Publicos;3311;Febrero;
441275;SEDAM HUANCAYO S.A.      ;Servicios Publicos;702.1;Febrero;
441333;ELECTROCENTRO        ;Servicios Publicos;11172.4;Febrero;
441333;ELECTROCENTRO        ;Servicios Publicos;11172.4;Febrero;
441445;eps Seda Cusco      ;Servicios Publicos;430895.9;Febrero;
441445;eps Seda Cusco      ;Servicios Publicos;430895.9;Febrero;
445399;ENT.PREST.SERVICIOS DE SANEAMIENTO      ;Servicios Publicos;577.5;Febrero;
446450;GAS NATURAL DE LIMA Y CALLAO S.A.;Servicios Publicos;1206239.2;Febrero;
448092;EMAPA CANETE SA      ;Servicios Publicos;582.8;Febrero;
460378;EMAPA HUANCAVELICA S.A.C.;Servicios Publicos;180;Febrero;
460378;EMAPA HUANCAVELICA S.A.C.;Servicios Publicos;180;Febrero;
T13868;COESTI S.A.       ;Servicios Publicos;91541.49;Febrero;
T13868;COESTI S.A.       ;Servicios Publicos;91541.49;Febrero;
439189;SEDAPAL        ;Servicios Publicos;22874.7;Febrero;
439189;SEDAPAL        ;Servicios Publicos;71309.5;Febrero;
439918;Quimpac SA       ;Suministros para produccion;56643.54;Febrero;
439918;Quimpac SA       ;Suministros para produccion;286790.41;Febrero;
440837;RIMAC SEGUROS Y REASEGUROS  - VALIDARLO;Seguros;364.62;Febrero;
440948;SOCIEDAD ELECTRICA DEL SUR OESTE S   ;Servicios Publicos;1178.3;Febrero;
441070;441070 ELECTRONOROESTE S.A      ;Servicios Publicos;14849.9;Febrero;
441071;ENTIDAD PREST.DE SS.DE SANEAM. GRAU    ;Servicios Publicos;975.7;Febrero;
441724;Poma de Romero      ;Alquiler;5335;Febrero;
442538;ELECTRO PUNO S.A.A.      ;Servicios Publicos;5754.1;Febrero;
455787;RIMAC EPS       ;People;10465.48;Febrero;
458643;Tupay Quispe Alejandra      ;Alquiler;6000;Febrero;
481455;ONCOSALUD SAC;People;8610.97;Febrero;
464191;AUSA ADUANAS S.A.;Comex;86268;Febrero;
439921;LUZ DEL SUR      ;Servicios Publicos;4387.7;Febrero;
440954;Sedapar        ;Servicios Publicos;117.8;Febrero;
441070;441070 ELECTRONOROESTE S.A      ;Servicios Publicos;6.4;Febrero;
441078;EMP REG DE SERV PUB DE ELECT DL NOR;Servicios Publicos;58612.46;Febrero;
441096;MUNICIPALIDAD PROVINCIAL DE MAYNAS     ;Impuestos;551.02;Febrero;
441096;MUNICIPALIDAD PROVINCIAL DE MAYNAS     ;Impuestos;959.79;Febrero;
441127;ELECTRO DUNAS       ;Servicios Publicos;3500;Febrero;
441223;ELECTRO SUR ESTE S.A.A.     ;Servicios Publicos;2364.25;Febrero;
441240;EMP.REG.SERV.PUB.ELECT.ELECTROSUR S       ;Servicios Publicos;3202.9;Febrero;
441357;MUNICIPALIDAD DISTRITAL DEL RIMAC     ;Impuestos;134186.16;Febrero;
441357;MUNICIPALIDAD DISTRITAL DEL RIMAC     ;Impuestos;677218.3;Febrero;
441391;HIDRANDINA        ;Servicios Publicos;4228;Febrero;
441444;SEDACHIMBOTE S.A.       ;Servicios Publicos;1786.4;Febrero;
441445;eps Seda Cusco      ;Servicios Publicos;1519.8;Febrero;
441500;MUNICIPALIDAD PROVINCIAL DE TACNA     ;Impuestos;4981.48;Febrero;
441500;MUNICIPALIDAD PROVINCIAL DE TACNA     ;Impuestos;9279.6;Febrero;
441530;MUNICIPALIDAD DISTRITAL DE WANCHAQ     ;Impuestos;1680;Febrero;
441530;MUNICIPALIDAD DISTRITAL DE WANCHAQ     ;Impuestos;2938;Febrero;
441617;MUNICIPALIDAD PROVINCIAL DEL CUSCO     ;Impuestos;184206.72;Febrero;
442584;MUNICIPALIDAD DISTRITAL DE SACHACA     ;Impuestos;2104.41;Febrero;
442584;MUNICIPALIDAD DISTRITAL DE SACHACA     ;Impuestos;174508.72;Febrero;
445227;EMPRESA MUNICIPAL AGUA POTABLE Y AL   ;Servicios Publicos;266.9;Febrero;
445638;MUNICIPALIDAD DISTRITAL DE ATE     ;Impuestos;224285.16;Febrero;
445638;MUNICIPALIDAD DISTRITAL DE ATE     ;Impuestos;681900.5;Febrero;
446666;MUNICIPALIDAD PROVINCIAL DE CAMANA     ;Impuestos;477;Febrero;
446666;MUNICIPALIDAD PROVINCIAL DE CAMANA     ;Impuestos;4952.96;Febrero;
449495;MUNICIPALIDAD PROVINCIAL DE NASCA     ;Impuestos;8411.52;Febrero;
449495;MUNICIPALIDAD PROVINCIAL DE NASCA     ;Impuestos;11574.37;Febrero;
458174;MUNICIPALIDAD DISTRITAL DE POCOLLAY     ;Impuestos;784.37;Febrero;
458174;MUNICIPALIDAD DISTRITAL DE POCOLLAY     ;Impuestos;14252.42;Febrero;
467013;NEOGAS PERU SOCIEDAD ANONIMA     ;Servicios Publicos;273774.94;Febrero;
481464;MUNICIPALIDAD DISTRITAL DE SAUSA     ;Impuestos;1841.08;Febrero;
T13888;MUNICIPALIDAD DISTRITAL DE PUNCHANA     ;Impuestos;434.16;Febrero;
T13888;MUNICIPALIDAD DISTRITAL DE PUNCHANA     ;Impuestos;1243.6;Febrero;
441361;MUNICIPALIDAD PROVINCIAL DEL CALLAO     ;Impuestos;55361.84;Febrero;
441361;MUNICIPALIDAD PROVINCIAL DEL CALLAO     ;Impuestos;61875.78;Febrero;
439141;RANSA COMERCIAL S.A.      ;Operador Logistico;29030.96;Febrero;
439918;Quimpac SA       ;Suministros para produccion;147587.5;Febrero;
441353;Superintendencia del Mercado de Valores    ;Valores ;42532.46;Febrero;
441391;HIDRANDINA        ;Servicios Publicos;5006;Febrero;
481455;ONCOSALUD SAC;People;185612.89;Febrero;
441491;MUNICIPALIDAD PROVINCIAL DE TALARA     ;Impuestos;11999.6;Marzo;
441491;MUNICIPALIDAD PROVINCIAL DE TALARA     ;Impuestos;15789.4;Marzo;
440302;Repsol Comercial SAC      ;Servicios Publicos;93536.5;Marzo;
440954;Sedapar        ;Servicios Publicos;175440.1;Marzo;
441223;ELECTRO SUR ESTE S.A.A.     ;Servicios Publicos;2656.5;Marzo;
462721;E.P.S. ILO S.A.      ;Servicios Publicos;143.3;Marzo;
484338;KALLPA GENERACION S.A.;Servicios Publicos;2776744.46;Marzo;
441621;sind obreros cerveceros;People;63460;Marzo;
483421;Cooperativa Finantel       ;People;129741.65;Marzo;
902496;cooperativa de servicios multiples;People;144258.6;Marzo;
903090;SINTRAEBACKUS;People;9090;Marzo;
441617;MUNICIPALIDAD PROVINCIAL DEL CUSCO     ;Impuestos;6180;Marzo;
464191;AUSA ADUANAS S.A.;Comex;5223.08;Marzo;
464191;AUSA ADUANAS S.A.;Comex;49816.74;Marzo;
464191;AUSA ADUANAS S.A.;Comex;660000;Marzo;
903090;SINTRAEBACKUS;People;5000;Marzo;
440302;Repsol Comercial SAC      ;Servicios Publicos;49880.02;Marzo;
440302;Repsol Comercial SAC      ;Servicios Publicos;34745.92;Marzo;
440925;BOLSA DE VALORES DE LIMA S.A.;Gobierno;56083.16;Marzo;
440948;SOCIEDAD ELECTRICA DEL SUR OESTE S   ;Servicios Publicos;1398.33;Marzo;
440954;Sedapar        ;Servicios Publicos;7725.7;Marzo;
441127;ELECTRO DUNAS       ;Servicios Publicos;1962.5;Marzo;
441223;ELECTRO SUR ESTE S.A.A.     ;Servicios Publicos;66.4;Marzo;
441240;EMP.REG.SERV.PUB.ELECT.ELECTROSUR S       ;Servicios Publicos;1696.6;Marzo;
441445;eps Seda Cusco      ;Servicios Publicos;397513.8;Marzo;
441549;EMP SERV MUNI AGUA P ALC CHINCHA S ;Servicios Publicos;8.9;Marzo;
445715;DIRECTV  PERU SRL;Servicios Publicos;1418;Marzo;
464191;AUSA ADUANAS S.A.;Comex;1047.74;Marzo;
464191;AUSA ADUANAS S.A.;Comex;2079.92;Marzo;
467013;NEOGAS PERU SOCIEDAD ANONIMA     ;Servicios Publicos;228785.22;Marzo;
482293;Nouchi Zea       ;Alquiler;9500;Marzo;
484338;KALLPA GENERACION S.A.;Servicios Publicos;203331.66;Marzo;
T13868;COESTI S.A.       ;Servicios Publicos;78835.38;Marzo;
439141;RANSA COMERCIAL S.A.      ;Operador Logistico;131881.11;Marzo;
439465;QUIMTIA SA       ;Suministros para produccion;3280.03;Marzo;
439918;Quimpac SA       ;Suministros para produccion;38693.5;Marzo;
439918;Quimpac SA       ;Suministros para produccion;432455.18;Marzo;
440302;Repsol Comercial SAC      ;Servicios Publicos;74849.5;Marzo;
440837;RIMAC SEGUROS Y REASEGUROS  - VALIDARLO;Seguros;7784.64;Marzo;
441391;HIDRANDINA        ;Servicios Publicos;16845.4;Marzo;
441500;MUNICIPALIDAD PROVINCIAL DE TACNA     ;Impuestos;1244.01;Marzo;
441556;MUNICIPALIDAD DISTRITAL DE PIMENTEL     ;Impuestos;43314.97;Marzo;
441556;MUNICIPALIDAD DISTRITAL DE PIMENTEL     ;Impuestos;4707.84;Marzo;
441617;MUNICIPALIDAD PROVINCIAL DEL CUSCO     ;Impuestos;81600;Marzo;
441617;MUNICIPALIDAD PROVINCIAL DEL CUSCO     ;Impuestos;70358.64;Marzo;
441655;EMAPA-HUARAL S.A.;Servicios Publicos;290.3;Marzo;
455787;RIMAC EPS       ;People;1347674.97;Marzo;
482744;RELSA        ;Alquiler;449299.42;Marzo;
T13868;COESTI S.A.       ;Servicios Publicos;45354.78;Marzo;
439921;LUZ DEL SUR      ;Servicios Publicos;45668.3;Marzo;
440302;Repsol Comercial SAC      ;Servicios Publicos;122603.71;Marzo;
441070;441070 ELECTRONOROESTE S.A      ;Servicios Publicos;6682.3;Marzo;
441391;HIDRANDINA        ;Servicios Publicos;12097.3;Marzo;
441391;HIDRANDINA        ;Servicios Publicos;5389.1;Marzo;
462721;E.P.S. ILO S.A.      ;Servicios Publicos;62.7;Marzo;
482744;RELSA        ;Alquiler;7028.58;Marzo;
484338;KALLPA GENERACION S.A.;Servicios Publicos;381.49;Marzo;
