Nombre del proveedor;Tipo de servicio;Importe en soles;Mes
AUSA ADUANAS S.A.;Comex;660,000.00;Marzo
SINTRAEBACKUS;People;5,000.00;Marzo
Repsol Comercial SAC      ;Servicios Publicos;49,880.02;Marzo
Repsol Comercial SAC      ;Servicios Publicos;34,745.92;Marzo
BOLSA DE VALORES DE LIMA S.A.;Gobierno;56,083.16;Marzo
SOCIEDAD ELECTRICA DEL SUR OESTE S   ;Servicios Publicos;1,398.33;Marzo
Sedapar        ;Servicios Publicos;7,725.70;Marzo
ELECTRO DUNAS       ;Servicios Publicos;1,962.50;Marzo
ELECTRO SUR ESTE S.A.A.     ;Servicios Publicos;66.4;Marzo
EMP.REG.SERV.PUB.ELECT.ELECTROSUR S       ;Servicios Publicos;1,696.60;Marzo
eps Seda Cusco      ;Servicios Publicos;397,513.80;Marzo
EMP SERV MUNI AGUA P ALC CHINCHA S ;Servicios Publicos;8.9;Marzo
DIRECTV  PERU SRL;Servicios Publicos;1,418.00;Marzo
AUSA ADUANAS S.A.;Comex;1,047.74;Marzo
AUSA ADUANAS S.A.;Comex;2,079.92;Marzo
NEOGAS PERU SOCIEDAD ANONIMA     ;Servicios Publicos;228,785.22;Marzo
Nouchi Zea       ;Alquiler;9,500.00;Marzo
KALLPA GENERACION S.A.;Servicios Publicos;203,331.66;Marzo
COESTI S.A.       ;Servicios Publicos;78,835.38;Marzo
RANSA COMERCIAL S.A.      ;Operador Logistico;131,881.11;Marzo
QUIMTIA SA       ;Suministros para produccion;3,280.03;Marzo
Quimpac SA       ;Suministros para produccion;38,693.50;Marzo
Quimpac SA       ;Suministros para produccion;432,455.18;Marzo
Repsol Comercial SAC      ;Servicios Publicos;74,849.50;Marzo
RIMAC SEGUROS Y REASEGUROS  - VALIDARLO;Seguros;7,784.64;Marzo
HIDRANDINA        ;Servicios Publicos;16,845.40;Marzo
MUNICIPALIDAD PROVINCIAL DE TACNA     ;Impuestos;1,244.01;Marzo
MUNICIPALIDAD DISTRITAL DE PIMENTEL     ;Impuestos;43,314.97;Marzo
MUNICIPALIDAD DISTRITAL DE PIMENTEL     ;Impuestos;4,707.84;Marzo
MUNICIPALIDAD PROVINCIAL DEL CUSCO     ;Impuestos;81,600.00;Marzo
MUNICIPALIDAD PROVINCIAL DEL CUSCO     ;Impuestos;70,358.64;Marzo
EMAPA-HUARAL S.A.;Servicios Publicos;290.3;Marzo
RIMAC EPS       ;People;1,347,674.97;Marzo
RELSA        ;Alquiler;449,299.42;Marzo
COESTI S.A.       ;Servicios Publicos;45,354.78;Marzo
LUZ DEL SUR      ;Servicios Publicos;45,668.30;Marzo
Repsol Comercial SAC      ;Servicios Publicos;122,603.71;Marzo
441070 ELECTRONOROESTE S.A      ;Servicios Publicos;6,682.30;Marzo
HIDRANDINA        ;Servicios Publicos;12,097.30;Marzo
HIDRANDINA        ;Servicios Publicos;5,389.10;Marzo
E.P.S. ILO S.A.      ;Servicios Publicos;62.7;Marzo
RELSA        ;Alquiler;7,028.58;Marzo
KALLPA GENERACION S.A.;Servicios Publicos;381.49;Marzo
COESTI S.A.       ;Servicios Publicos;14,980.06;Marzo
Quimpac SA       ;Suministros para produccion;6,570.24;Marzo
Quimpac SA       ;Suministros para produccion;72,499.39;Marzo
Repsol Comercial SAC      ;Servicios Publicos;240,131.93;Marzo
SOCIEDAD ELECTRICA DEL SUR OESTE S   ;Servicios Publicos;1,575.30;Marzo
441070 ELECTRONOROESTE S.A      ;Servicios Publicos;12,458.80;Marzo
ENTIDAD PREST.DE SS.DE SANEAM. GRAU    ;Servicios Publicos;500.2;Marzo
EMP REG DE SERV PUB DE ELECT DL NOR;Servicios Publicos;46,436.58;Marzo
ELECTRO DUNAS       ;Servicios Publicos;2,826.00;Marzo
EMP.REG.SERV.PUB.ELECT.ELECTROSUR S       ;Servicios Publicos;3,153.10;Marzo
ELECTROCENTRO        ;Servicios Publicos;5,180.90;Marzo
MUNICIPALIDAD DISTRITAL DE LA ESPERANZA    ;Impuestos;78,522.45;Marzo
Poma de Romero      ;Alquiler;5,335.00;Marzo
SERVICIO DE ADMINISTRACION TRIBUTARIA DE TRUJILLO   ;Impuestos;13,320.56;Marzo
MUNICIPALIDAD DISTRITAL DE SAN MATEO    ;Impuestos;16,795.48;Marzo
EMPRESA MUNICIPAL AGUA POTABLE Y AL   ;Servicios Publicos;267.7;Marzo
ENT.PREST.SERVICIOS DE SANEAMIENTO      ;Servicios Publicos;670.9;Marzo
AUSA ADUANAS S.A.;Comex;660,000.00;Marzo
AUSA ADUANAS S.A.;Comex;12,618.67;Marzo
MUNICIPALIDAD PROVINCIAL DE MARISCAL NIETO    ;Impuestos;1,324.64;Marzo
RELSA        ;Alquiler;58,392.96;Marzo
RELSA        ;Alquiler;3,332.42;Marzo
Repsol Comercial SAC      ;Servicios Publicos;74,957.75;Marzo
441070 ELECTRONOROESTE S.A      ;Servicios Publicos;4,104.60;Marzo
ENTIDAD PREST.DE SS.DE SANEAM. GRAU    ;Servicios Publicos;297.4;Marzo
EMP.REG.SERV.PUB.ELECT.ELECTROSUR S       ;Servicios Publicos;1,698.50;Marzo
SEDAM HUANCAYO S.A.      ;Servicios Publicos;727.9;Marzo
SEDAM HUANCAYO S.A.      ;Servicios Publicos;21.06;Marzo
ELECTROCENTRO        ;Servicios Publicos;5,411.90;Marzo
SEDALIB S.A.       ;Servicios Publicos;3,620.10;Marzo
SEDACHIMBOTE S.A.       ;Servicios Publicos;598.6;Marzo
COESTI S.A.       ;Servicios Publicos;3,460.33;Marzo
SOCIEDAD ELECTRICA DEL SUR OESTE S   ;Servicios Publicos;437.9;Marzo
Sedapar        ;Servicios Publicos;166.1;Marzo
EMP REG DE SERV PUB DE ELECT DL NOR;Servicios Publicos;14,260.00;Marzo
ELECTROCENTRO        ;Servicios Publicos;460.1;Marzo
Superintendencia del Mercado de Valores    ;Valores ;42,532.46;Marzo
MUNICIPALIDAD DISTRITAL DE MOTUPE     ;Impuestos;156,803.55;Marzo
ELECTRO PUNO S.A.A.      ;Servicios Publicos;6,461.90;Marzo
Tupay Quispe Alejandra      ;Alquiler;6,000.00;Marzo
EMAPA HUANCAVELICA S.A.C.;Servicios Publicos;151.6;Marzo
Nouchi Zea       ;Alquiler;9,500.00;Marzo
RELSA        ;Alquiler;3,696.50;Marzo
