FECMIG;DIVISA;IMPORTE;NOMBRE EPIGRAFE;GRUPO;TIPO SALDO;AREA
31/12/2018;USD;1.69;CONTIAHORRO PERSONAS NATURALES     ;1.RECURSOS DEL CLIENTE   ;SALDO_PUNTUAL  ;1664 - S.AREA BCA MINORISTA   
31/12/2018;PEN;9629.17;AHORRO CERO MANTENIMIENTO          ;1.RECURSOS DEL CLIENTE   ;SALDO_MEDIO    ;1664 - S.AREA BCA MINORISTA   
31/12/2018;PEN;37540.26;AHORRO CERO MANTENIMIENTO          ;1.RECURSOS DEL CLIENTE   ;SALDO_PUNTUAL  ;1664 - S.AREA BCA MINORISTA   
31/12/2018;USD;140801.2;AHORRO CERO MANTENIMIENTO          ;1.RECURSOS DEL CLIENTE   ;SALDO_MEDIO    ;1664 - S.AREA BCA MINORISTA   
31/12/2018;USD;28412.47;AHORRO CERO MANTENIMIENTO          ;1.RECURSOS DEL CLIENTE   ;SALDO_PUNTUAL  ;1664 - S.AREA BCA MINORISTA   
31/12/2018;PEN;6.76;AHORRO CERO MANTENIMIENTO          ;1.RECURSOS DEL CLIENTE   ;SALDO_MEDIO    ;1664 - S.AREA BCA MINORISTA   
31/12/2018;PEN;6.76;AHORRO CERO MANTENIMIENTO          ;1.RECURSOS DEL CLIENTE   ;SALDO_PUNTUAL  ;1664 - S.AREA BCA MINORISTA   
31/12/2018;PEN;25124.88;AHORRO CERO MANTENIMIENTO          ;1.RECURSOS DEL CLIENTE   ;SALDO_MEDIO    ;1664 - S.AREA BCA MINORISTA   
31/12/2018;PEN;25127.49;AHORRO CERO MANTENIMIENTO          ;1.RECURSOS DEL CLIENTE   ;SALDO_PUNTUAL  ;1664 - S.AREA BCA MINORISTA   
31/12/2018;USD;2.56;AHORRO CERO MANTENIMIENTO          ;1.RECURSOS DEL CLIENTE   ;SALDO_MEDIO    ;1664 - S.AREA BCA MINORISTA   
31/12/2018;USD;2.56;AHORRO CERO MANTENIMIENTO          ;1.RECURSOS DEL CLIENTE   ;SALDO_PUNTUAL  ;1664 - S.AREA BCA MINORISTA   
31/12/2018;PEN;95.93;AHORRO CERO MANTENIMIENTO          ;1.RECURSOS DEL CLIENTE   ;SALDO_MEDIO    ;1664 - S.AREA BCA MINORISTA   
31/12/2018;PEN;95.94;AHORRO CERO MANTENIMIENTO          ;1.RECURSOS DEL CLIENTE   ;SALDO_PUNTUAL  ;1664 - S.AREA BCA MINORISTA   
31/12/2018;PEN;69.77;AHORRO CERO MANTENIMIENTO          ;1.RECURSOS DEL CLIENTE   ;SALDO_MEDIO    ;1664 - S.AREA BCA MINORISTA   
31/12/2018;PEN;69.78;AHORRO CERO MANTENIMIENTO          ;1.RECURSOS DEL CLIENTE   ;SALDO_PUNTUAL  ;1664 - S.AREA BCA MINORISTA   
31/12/2018;USD;1.23;CONTIAHORRO PERSONAS NATURALES     ;1.RECURSOS DEL CLIENTE   ;SALDO_MEDIO    ;1664 - S.AREA BCA MINORISTA   
31/12/2018;USD;36.71;AHORRO CERO MANTENIMIENTO          ;1.RECURSOS DEL CLIENTE   ;SALDO_MEDIO    ;1664 - S.AREA BCA MINORISTA   
31/12/2018;USD;38.05;CONTIAHORRO PERSONAS NATURALES     ;1.RECURSOS DEL CLIENTE   ;SALDO_PUNTUAL  ;1664 - S.AREA BCA MINORISTA   
31/12/2018;PEN;30523.48;CUENTA GANADORA                    ;1.RECURSOS DEL CLIENTE   ;SALDO_MEDIO    ;1664 - S.AREA BCA MINORISTA   
31/12/2018;PEN;7326.16;CUENTA GANADORA                    ;1.RECURSOS DEL CLIENTE   ;SALDO_MEDIO    ;1664 - S.AREA BCA MINORISTA   
31/12/2018;PEN;37865.37;CUENTA GANADORA                    ;1.RECURSOS DEL CLIENTE   ;SALDO_PUNTUAL  ;1664 - S.AREA BCA MINORISTA   
31/12/2018;PEN;0.03;AHORRO CERO MANTENIMIENTO          ;1.RECURSOS DEL CLIENTE   ;SALDO_MEDIO    ;1664 - S.AREA BCA MINORISTA   
31/12/2018;PEN;0.03;AHORRO CERO MANTENIMIENTO          ;1.RECURSOS DEL CLIENTE   ;SALDO_PUNTUAL  ;1664 - S.AREA BCA MINORISTA   
31/12/2018;PEN;578.48;AHORRO CERO MANTENIMIENTO          ;1.RECURSOS DEL CLIENTE   ;SALDO_MEDIO    ;1664 - S.AREA BCA MINORISTA   
31/12/2018;PEN;340.23;AHORRO CERO MANTENIMIENTO          ;1.RECURSOS DEL CLIENTE   ;SALDO_PUNTUAL  ;1664 - S.AREA BCA MINORISTA   
31/12/2018;PEN;1.41;AHORRO CERO MANTENIMIENTO          ;1.RECURSOS DEL CLIENTE   ;SALDO_MEDIO    ;1664 - S.AREA BCA MINORISTA   
31/12/2018;PEN;1.41;AHORRO CERO MANTENIMIENTO          ;1.RECURSOS DEL CLIENTE   ;SALDO_PUNTUAL  ;1664 - S.AREA BCA MINORISTA   
31/12/2018;PEN;1837.38;AHORRO CERO MANTENIMIENTO          ;1.RECURSOS DEL CLIENTE   ;SALDO_MEDIO    ;1664 - S.AREA BCA MINORISTA   
31/12/2018;PEN;4528.58;AHORRO CERO MANTENIMIENTO          ;1.RECURSOS DEL CLIENTE   ;SALDO_PUNTUAL  ;1664 - S.AREA BCA MINORISTA   
