FINFO,PERIODO,MES,NATURALEZA,PRODUCTO,APLICATIVO,NOMAREA,NUMERO,SALDO
2018/04,2018,ABR,PASIVOS,VISTA PJ,CUENTA CORRIENTE,AREA B.MINORISTA,3469,66353
2018/04,2018,ABR,PASIVOS,VISTA PJ,CUENTA CORRIENTE,AREA BCA.EMP. Y CORP,191,44048
2018/04,2018,ABR,PASIVOS,VISTA PJ,CUENTA CORRIENTE,AREA CIB,15,445
2018/04,2018,ABR,PASIVOS,VISTA PN RESTO,CUENTA CORRIENTE,AREA B.MINORISTA,254,3962
2018/05,2018,MAY,PASIVOS,AHORRO PJ,CONTIAHORRO,AREA B.INSTITUCIONAL,1,0
2018/05,2018,MAY,PASIVOS,AHORRO PJ,CONTIAHORRO,AREA B.MINORISTA,1763,18284
2018/05,2018,MAY,PASIVOS,AHORRO PJ,CONTIAHORRO,AREA BCA.EMP. Y CORP,16,771
2018/05,2018,MAY,PASIVOS,AHORRO PJ,CONTIAHORRO,AREA CIB,2,271
2018/05,2018,MAY,PASIVOS,AHORRO PJ SSFF,CONTIAHORRO,AREA BCA.EMP. Y CORP,2,0
2018/05,2018,MAY,PASIVOS,CONTIAHORRO,CONTIAHORRO,AREA B.MINORISTA,369,6477
2018/05,2018,MAY,PASIVOS,CTS,C.T.S.,AREA B.MINORISTA,21713,7011
2018/05,2018,MAY,PASIVOS,CTS,C.T.S.,AREA BCA.EMP. Y CORP,4,1
2018/05,2018,MAY,PASIVOS,CTS,C.T.S.,AREA DIST.RED MASIVA,514,354
2018/05,2018,MAY,PASIVOS,CUENTA FACIL,CONTIAHORRO,AREA B.MINORISTA,71100,171373
2018/05,2018,MAY,PASIVOS,CUENTA FACIL,CONTIAHORRO,AREA DIST.RED MASIVA,85,9
2018/05,2018,MAY,PASIVOS,CUENTA GANADORA,CONTIAHORRO,AREA B.MINORISTA,2689,74458
2018/05,2018,MAY,PASIVOS,CUENTA GANADORA,CONTIAHORRO,AREA CIB,2,7134
2018/05,2018,MAY,PASIVOS,CUENTA GANADORA,CONTIAHORRO,AREA DIST.RED MASIVA,2,0
2018/05,2018,MAY,PASIVOS,CUENTA INDEPENDENCIA,CONTIAHORRO,AREA B.MINORISTA,27940,101216
2018/05,2018,MAY,PASIVOS,CUENTA INDEPENDENCIA,CONTIAHORRO,AREA DIST.RED MASIVA,7,6
2018/05,2018,MAY,PASIVOS,CUENTA SUELDO,CONTIAHORRO,AREA B.MINORISTA,44324,17565
2018/05,2018,MAY,PASIVOS,CUENTA SUELDO,CONTIAHORRO,AREA DIST.RED MASIVA,177,122
2018/05,2018,MAY,PASIVOS,CUENTA VIP,CUENTA CORRIENTE,AREA B.MINORISTA,388,16518
2018/05,2018,MAY,PASIVOS,DEP. PLAZO PJ SSFF,CTA.PLAZO,AREA B.INSTITUCIONAL,45,269772
2018/05,2018,MAY,PASIVOS,DEP. PLAZO PJ SSFF,CTA.PLAZO,AREA B.MINORISTA,19,46396
2018/05,2018,MAY,PASIVOS,DEP. PLAZO PJ SSFF,CTA.PLAZO,AREA BCA.EMP. Y CORP,79,282814
2018/05,2018,MAY,PASIVOS,DEP. PLAZO PJ SSFF,CTA.PLAZO,AREA MERCADOS,256,963071
2018/05,2018,MAY,PASIVOS,DEPOSITO A PLAZO PJ,CTA.PLAZO,AREA B.INSTITUCIONAL,497,3895270
2018/05,2018,MAY,PASIVOS,DEPOSITO A PLAZO PJ,CTA.PLAZO,AREA B.MINORISTA,154,151815
2018/05,2018,MAY,PASIVOS,DEPOSITO A PLAZO PJ,CTA.PLAZO,AREA BCA.EMP. Y CORP,520,698830
2018/05,2018,MAY,PASIVOS,DEPOSITO A PLAZO PJ,CTA.PLAZO,AREA MERCADOS,3242,24266890
2018/05,2018,MAY,PASIVOS,DIVAS PJ,CTA.PLAZO,AREA B.MINORISTA,3,15855
2018/05,2018,MAY,PASIVOS,DIVAS PJ,CTA.PLAZO,AREA BCA.EMP. Y CORP,21,27224
2018/05,2018,MAY,PASIVOS,DIVAS PN,CTA.PLAZO,AREA B.MINORISTA,78,18093
2018/05,2018,MAY,PASIVOS,PLAZO PN,CTA.PLAZO,AREA B.MINORISTA,3155,310985
2018/05,2018,MAY,PASIVOS,RESTO EMPRESAS,CUENTA CORRIENTE,AREA B.MINORISTA,7,0
2018/05,2018,MAY,PASIVOS,RESTO EMPRESAS,CUENTA CORRIENTE,AREA BCA.EMP. Y CORP,1,0
2018/05,2018,MAY,PASIVOS,VISTA PJ,CUENTA CORRIENTE,AREA B.INSTITUCIONAL,14,47
2018/05,2018,MAY,PASIVOS,VISTA PJ,CUENTA CORRIENTE,AREA B.MINORISTA,3744,54460
2018/05,2018,MAY,PASIVOS,VISTA PJ,CUENTA CORRIENTE,AREA BCA.EMP. Y CORP,206,22623
